Date,Product,Region,Store Location,Initial Inventory,Restocks,Sales Impact,Current Inventory
1/5/2024,Latte,North,Store D,507,123,134,359
1/5/2024,Latte,South,Store A,578,198,229,215
1/5/2024,Mocha,East,Store C,492,193,73,276
1/5/2024,Latte,South,Store C,356,41,137,220
1/5/2024,Mocha,North,Store D,304,157,144,277
1/5/2024,Latte,West,Store C,313,163,224,207
1/5/2024,Mocha,North,Store B,307,174,138,302
1/5/2024,Mocha,South,Store D,446,30,130,277
1/5/2024,Cappuccino,East,Store D,426,147,168,240
1/5/2024,Mocha,North,Store A,447,161,158,189
1/5/2024,Latte,East,Store B,303,182,204,135
1/5/2024,Mocha,North,Store A,525,48,51,202
1/5/2024,Latte,North,Store A,471,25,179,283
1/5/2024,Cappuccino,West,Store A,441,92,229,114
1/6/2024,Latte,West,Store C,409,83,124,138
1/6/2024,Mocha,West,Store A,380,130,205,131
1/6/2024,Espresso,North,Store C,455,48,122,329
1/6/2024,Mocha,East,Store B,387,165,161,215
1/6/2024,Latte,East,Store B,346,84,133,395
1/6/2024,Latte,East,Store C,311,167,142,276
1/6/2024,Latte,East,Store D,574,97,177,245
1/6/2024,Mocha,North,Store B,549,166,193,319
1/6/2024,Mocha,North,Store B,519,53,231,342
1/6/2024,Cappuccino,North,Store A,499,137,55,377
1/6/2024,Mocha,West,Store D,416,71,130,225
1/6/2024,Latte,West,Store A,366,199,144,181
1/6/2024,Mocha,West,Store B,334,64,90,390
1/6/2024,Cappuccino,East,Store B,378,29,110,305
1/6/2024,Espresso,East,Store B,405,30,117,161
1/6/2024,Cappuccino,East,Store C,446,70,135,200
1/6/2024,Espresso,North,Store C,429,12,67,238
1/6/2024,Espresso,South,Store A,353,136,92,394
1/6/2024,Espresso,South,Store D,368,174,94,156
1/6/2024,Espresso,East,Store B,369,175,222,208
1/6/2024,Espresso,East,Store C,518,58,59,155
1/6/2024,Latte,East,Store B,484,180,242,329
1/6/2024,Mocha,North,Store B,310,130,221,345
1/6/2024,Mocha,North,Store D,578,5,60,307
1/7/2024,Mocha,South,Store B,497,79,67,318
1/7/2024,Espresso,South,Store A,537,132,249,328
1/7/2024,Espresso,East,Store C,366,46,236,342
1/7/2024,Mocha,East,Store D,474,104,161,104
1/7/2024,Cappuccino,West,Store A,438,88,221,132
1/7/2024,Mocha,West,Store A,405,51,104,223
1/7/2024,Latte,South,Store B,552,38,175,383
1/7/2024,Mocha,East,Store A,324,78,56,380
1/7/2024,Mocha,East,Store A,308,93,154,357
1/7/2024,Mocha,West,Store D,512,118,160,207
1/7/2024,Mocha,East,Store A,328,23,63,227
1/7/2024,Cappuccino,North,Store C,364,140,149,179
1/7/2024,Mocha,East,Store C,350,154,166,338
1/7/2024,Latte,South,Store B,390,192,238,350
1/7/2024,Cappuccino,South,Store C,317,12,133,172
1/7/2024,Espresso,East,Store D,490,188,194,118
1/7/2024,Cappuccino,South,Store B,456,8,215,214
1/7/2024,Latte,East,Store A,505,186,191,197
1/7/2024,Mocha,West,Store C,556,110,179,120
1/7/2024,Latte,East,Store C,430,185,51,348
1/7/2024,Espresso,West,Store C,364,133,217,324
1/7/2024,Cappuccino,South,Store C,586,144,156,175
1/7/2024,Espresso,North,Store D,588,111,151,345
1/7/2024,Mocha,North,Store C,363,194,203,224
1/8/2024,Cappuccino,West,Store C,392,22,84,179
1/8/2024,Latte,West,Store B,595,50,76,181
1/8/2024,Mocha,West,Store D,372,48,194,147
1/8/2024,Espresso,South,Store D,597,29,211,229
1/8/2024,Espresso,South,Store D,393,145,93,228
1/8/2024,Espresso,East,Store D,332,70,199,210
1/8/2024,Mocha,West,Store D,461,108,190,284
1/8/2024,Latte,North,Store C,591,146,92,227
1/8/2024,Mocha,North,Store C,323,0,204,171
1/8/2024,Latte,West,Store D,552,168,110,380
1/8/2024,Cappuccino,East,Store A,405,56,177,170
1/8/2024,Mocha,East,Store D,380,34,69,353
1/8/2024,Latte,West,Store D,556,31,200,142
1/8/2024,Mocha,West,Store B,512,191,230,272
1/8/2024,Mocha,South,Store B,587,104,53,257
1/8/2024,Cappuccino,East,Store C,451,49,87,298
1/8/2024,Latte,East,Store B,439,120,112,133
1/8/2024,Espresso,East,Store C,514,36,192,136
1/8/2024,Espresso,East,Store B,591,118,132,243
1/8/2024,Cappuccino,South,Store D,400,43,240,102
1/8/2024,Mocha,West,Store B,362,152,81,247
1/8/2024,Mocha,West,Store D,455,165,229,264
1/8/2024,Cappuccino,West,Store C,422,27,125,381
1/8/2024,Mocha,East,Store B,586,148,77,342
1/9/2024,Latte,South,Store A,481,42,164,129
1/9/2024,Cappuccino,West,Store A,570,133,86,361
1/9/2024,Espresso,West,Store D,458,183,72,124
1/9/2024,Cappuccino,North,Store C,487,44,122,323
1/9/2024,Mocha,East,Store A,380,158,248,332
1/9/2024,Espresso,South,Store A,437,46,141,396
1/9/2024,Latte,North,Store B,560,80,124,184
1/9/2024,Mocha,North,Store D,459,180,85,318
1/9/2024,Mocha,East,Store C,403,184,181,173
1/9/2024,Cappuccino,West,Store B,554,7,155,246
1/9/2024,Latte,South,Store C,450,56,248,122
1/9/2024,Mocha,North,Store D,587,80,58,100
1/9/2024,Espresso,North,Store B,437,164,110,298
1/9/2024,Cappuccino,East,Store D,523,131,231,276
1/9/2024,Cappuccino,South,Store A,414,92,53,396
1/9/2024,Latte,East,Store D,404,164,186,126
1/9/2024,Espresso,East,Store C,475,69,94,205
1/9/2024,Mocha,North,Store B,516,108,201,102
1/9/2024,Mocha,East,Store D,453,160,188,304
1/9/2024,Espresso,North,Store B,463,67,70,252
1/9/2024,Espresso,North,Store B,519,111,216,276
1/9/2024,Cappuccino,South,Store C,373,80,223,273
1/9/2024,Espresso,South,Store A,372,193,231,246
1/9/2024,Latte,East,Store D,447,138,134,238
1/10/2024,Mocha,West,Store C,554,44,245,252
1/10/2024,Mocha,South,Store B,497,180,66,241
1/10/2024,Mocha,North,Store D,599,133,203,119
1/10/2024,Mocha,South,Store C,429,42,210,214
1/10/2024,Mocha,West,Store C,526,45,231,170
1/10/2024,Espresso,West,Store B,449,63,171,215
1/10/2024,Mocha,South,Store A,358,92,126,378
1/10/2024,Espresso,South,Store A,303,182,136,132
1/10/2024,Latte,West,Store C,525,8,79,115
1/10/2024,Mocha,North,Store C,598,127,110,353
1/10/2024,Espresso,South,Store D,444,99,236,106
1/10/2024,Cappuccino,East,Store B,568,183,204,164
1/10/2024,Cappuccino,South,Store D,387,36,247,382
1/10/2024,Mocha,South,Store C,305,40,105,165
1/10/2024,Mocha,South,Store A,549,6,169,173
1/10/2024,Espresso,West,Store A,403,112,178,244
1/10/2024,Cappuccino,East,Store C,581,111,63,325
1/10/2024,Latte,West,Store D,333,10,133,324
1/10/2024,Espresso,West,Store D,481,67,51,395
1/10/2024,Cappuccino,North,Store A,456,8,52,197
1/10/2024,Latte,North,Store B,396,62,56,144
1/10/2024,Mocha,East,Store C,392,116,82,103
1/10/2024,Cappuccino,North,Store B,557,84,140,206
1/10/2024,Latte,East,Store B,406,54,117,308
1/11/2024,Latte,North,Store D,553,152,204,352
1/11/2024,Cappuccino,North,Store C,393,9,104,181
1/11/2024,Cappuccino,North,Store C,343,7,66,105
1/11/2024,Espresso,North,Store B,311,155,60,320
1/11/2024,Espresso,South,Store C,325,87,63,399
1/11/2024,Espresso,East,Store A,567,80,218,139
1/11/2024,Mocha,West,Store C,520,82,147,183
1/11/2024,Latte,North,Store B,498,186,209,129
1/11/2024,Latte,South,Store D,303,35,177,248
1/11/2024,Mocha,East,Store A,514,108,129,266
1/11/2024,Latte,North,Store D,597,88,185,308
1/11/2024,Mocha,East,Store D,562,143,57,153
1/11/2024,Latte,East,Store A,405,192,138,147
1/11/2024,Mocha,East,Store C,358,33,214,177
1/11/2024,Latte,South,Store D,317,55,100,284
1/11/2024,Espresso,East,Store D,408,188,66,235
1/11/2024,Cappuccino,North,Store B,501,100,143,346
1/11/2024,Mocha,West,Store A,484,23,215,159
1/11/2024,Espresso,South,Store B,574,61,207,153
1/11/2024,Espresso,West,Store A,424,172,187,221
1/11/2024,Cappuccino,East,Store D,501,19,151,215
1/11/2024,Cappuccino,North,Store C,581,172,162,193
1/11/2024,Espresso,North,Store B,332,92,215,320
1/11/2024,Espresso,East,Store A,593,161,200,286
1/12/2024,Espresso,North,Store C,469,155,209,277
1/12/2024,Latte,South,Store A,564,69,120,156
1/12/2024,Latte,South,Store C,301,185,85,237
1/12/2024,Mocha,East,Store B,370,131,103,205
1/12/2024,Latte,North,Store D,476,38,100,221
1/12/2024,Cappuccino,West,Store A,546,104,179,219
1/12/2024,Latte,West,Store A,319,10,58,202
1/12/2024,Mocha,North,Store A,301,105,219,337
1/12/2024,Mocha,West,Store A,388,147,163,138
1/12/2024,Mocha,North,Store B,429,71,227,207
1/12/2024,Cappuccino,North,Store C,403,23,93,331
1/12/2024,Latte,South,Store A,564,146,54,235
1/12/2024,Latte,West,Store D,370,25,198,171
1/12/2024,Espresso,East,Store A,494,70,200,235
1/12/2024,Mocha,West,Store A,585,27,78,207
1/12/2024,Latte,South,Store A,415,80,158,358
1/12/2024,Latte,West,Store B,500,151,114,221
1/12/2024,Cappuccino,West,Store B,316,85,138,104
1/12/2024,Espresso,East,Store B,498,89,83,173
1/12/2024,Mocha,South,Store C,416,163,145,323
1/12/2024,Mocha,South,Store B,500,2,106,289
1/12/2024,Mocha,South,Store D,578,0,66,287
1/12/2024,Latte,South,Store C,388,150,58,318
1/12/2024,Cappuccino,West,Store D,461,137,107,220
1/13/2024,Cappuccino,North,Store D,513,153,106,220
1/13/2024,Espresso,South,Store A,470,0,155,149
1/13/2024,Latte,North,Store D,355,179,234,394
1/13/2024,Latte,South,Store B,362,112,85,278
1/13/2024,Cappuccino,West,Store A,510,38,149,387
1/13/2024,Cappuccino,South,Store B,598,0,186,351
1/13/2024,Espresso,South,Store C,536,194,158,342
1/13/2024,Mocha,North,Store A,443,180,124,239
1/13/2024,Mocha,South,Store C,450,121,82,352
1/13/2024,Mocha,East,Store C,444,101,177,383
1/13/2024,Cappuccino,North,Store A,417,78,212,121
1/13/2024,Latte,North,Store C,456,4,204,367
1/13/2024,Mocha,West,Store A,368,8,66,269
1/13/2024,Mocha,North,Store C,568,96,104,236
1/13/2024,Latte,East,Store D,578,179,204,157
1/13/2024,Espresso,East,Store B,356,59,57,132
1/13/2024,Espresso,East,Store A,331,144,155,119
1/13/2024,Cappuccino,North,Store C,482,195,240,297
1/13/2024,Latte,North,Store C,337,134,164,368
1/13/2024,Cappuccino,East,Store B,345,119,94,166
1/13/2024,Espresso,North,Store A,376,70,186,132
1/13/2024,Espresso,East,Store A,540,52,212,242
1/13/2024,Mocha,West,Store B,480,57,141,150
1/13/2024,Espresso,West,Store D,419,149,118,162
1/14/2024,Latte,West,Store C,555,80,155,243
1/14/2024,Cappuccino,West,Store D,476,15,98,271
1/14/2024,Cappuccino,East,Store C,323,29,165,108
1/14/2024,Latte,South,Store C,471,158,184,217
1/14/2024,Mocha,North,Store C,527,58,82,144
1/14/2024,Espresso,East,Store A,469,107,239,338
1/14/2024,Espresso,South,Store D,320,174,124,245
1/14/2024,Espresso,North,Store B,457,154,131,147
1/14/2024,Espresso,West,Store C,521,72,78,275
1/14/2024,Mocha,West,Store A,574,180,122,219
1/14/2024,Cappuccino,West,Store B,568,123,101,308
1/14/2024,Espresso,East,Store B,448,112,170,114
1/14/2024,Mocha,West,Store C,448,145,200,258
1/14/2024,Latte,East,Store C,326,134,150,351
1/14/2024,Latte,North,Store B,554,191,117,180
1/14/2024,Mocha,North,Store A,337,127,134,167
1/14/2024,Espresso,West,Store D,324,189,197,380
1/14/2024,Mocha,East,Store D,348,135,125,199
1/14/2024,Cappuccino,South,Store B,506,72,62,246
1/14/2024,Espresso,West,Store C,430,74,157,132
1/14/2024,Latte,South,Store A,466,23,97,100
1/14/2024,Cappuccino,West,Store C,389,136,194,181
1/14/2024,Latte,North,Store A,563,133,96,248
1/14/2024,Cappuccino,East,Store A,544,154,185,233
1/15/2024,Mocha,East,Store D,488,5,138,391
1/15/2024,Cappuccino,South,Store D,556,159,216,261
1/15/2024,Cappuccino,South,Store C,340,154,184,186
1/15/2024,Mocha,West,Store B,591,196,113,262
1/15/2024,Latte,North,Store A,548,28,129,211
1/15/2024,Espresso,West,Store B,311,107,181,349
1/15/2024,Espresso,East,Store B,496,92,145,368
1/15/2024,Latte,West,Store C,518,180,97,152
1/15/2024,Mocha,South,Store B,373,138,240,201
1/15/2024,Espresso,North,Store B,425,179,197,101
1/15/2024,Latte,North,Store C,464,69,245,314
1/15/2024,Mocha,East,Store A,342,24,93,342
1/15/2024,Latte,West,Store C,326,124,65,209
1/15/2024,Latte,West,Store B,484,96,167,149
1/15/2024,Latte,North,Store A,554,102,170,190
1/15/2024,Espresso,West,Store C,532,76,167,208
1/15/2024,Espresso,West,Store A,434,91,145,151
1/15/2024,Espresso,North,Store B,498,1,210,256
1/15/2024,Mocha,South,Store B,597,58,97,382
1/15/2024,Mocha,East,Store D,492,173,218,392
1/15/2024,Mocha,South,Store B,568,116,123,317
1/15/2024,Espresso,West,Store A,469,25,229,160
1/15/2024,Latte,North,Store C,440,181,249,335
1/15/2024,Mocha,East,Store D,534,97,105,111
1/16/2024,Espresso,West,Store B,537,53,196,393
1/16/2024,Espresso,South,Store B,441,89,225,182
1/16/2024,Mocha,North,Store B,416,137,229,395
1/16/2024,Mocha,West,Store B,344,105,84,363
1/16/2024,Espresso,North,Store B,550,181,109,175
1/16/2024,Espresso,North,Store D,576,9,79,257
1/16/2024,Mocha,North,Store D,349,87,240,288
1/16/2024,Espresso,North,Store D,384,147,103,106
1/16/2024,Latte,West,Store C,462,32,132,323
1/16/2024,Espresso,North,Store B,541,77,57,369
1/16/2024,Mocha,South,Store A,493,163,119,312
1/16/2024,Latte,North,Store C,558,153,221,304
1/16/2024,Cappuccino,South,Store C,491,16,75,350
1/16/2024,Cappuccino,West,Store A,586,11,85,228
1/16/2024,Espresso,South,Store B,452,40,116,108
1/16/2024,Espresso,North,Store B,481,158,74,206
1/16/2024,Cappuccino,North,Store B,521,106,221,155
1/16/2024,Espresso,West,Store D,377,38,224,260
1/16/2024,Cappuccino,North,Store B,508,142,227,221
1/16/2024,Cappuccino,North,Store A,521,53,99,157
1/16/2024,Cappuccino,South,Store D,301,25,182,282
1/16/2024,Cappuccino,East,Store A,452,51,87,375
1/16/2024,Cappuccino,East,Store A,388,39,153,210
1/16/2024,Mocha,North,Store A,540,7,151,394
1/17/2024,Latte,South,Store D,301,18,116,213
1/17/2024,Espresso,South,Store B,569,52,125,276
1/17/2024,Mocha,South,Store C,477,128,223,218
1/17/2024,Cappuccino,South,Store C,362,6,222,211
1/17/2024,Espresso,West,Store D,514,71,76,206
1/17/2024,Espresso,North,Store A,366,136,236,156
1/17/2024,Cappuccino,East,Store C,326,124,224,172
1/17/2024,Espresso,North,Store D,360,165,132,279
1/17/2024,Espresso,West,Store A,461,85,98,104
1/17/2024,Latte,East,Store A,338,97,230,307
1/17/2024,Cappuccino,East,Store A,532,60,243,130
1/17/2024,Mocha,West,Store B,448,32,78,190
1/17/2024,Espresso,South,Store C,380,43,102,302
1/17/2024,Latte,South,Store D,563,75,148,131
1/17/2024,Espresso,East,Store D,356,7,131,128
1/17/2024,Latte,North,Store B,514,34,171,384
1/17/2024,Latte,East,Store D,501,160,159,282
1/17/2024,Mocha,South,Store B,455,174,246,114
1/17/2024,Cappuccino,North,Store B,351,120,66,366
1/17/2024,Latte,West,Store B,416,135,249,163
1/17/2024,Espresso,South,Store C,378,2,139,229
1/17/2024,Cappuccino,East,Store D,449,199,137,280
1/17/2024,Latte,West,Store B,456,190,162,315
1/17/2024,Espresso,North,Store A,390,101,174,346
1/18/2024,Mocha,South,Store C,315,190,134,146
1/18/2024,Mocha,West,Store C,598,126,239,244
1/18/2024,Latte,East,Store A,463,21,74,371
1/18/2024,Espresso,North,Store C,583,187,109,232
1/18/2024,Latte,North,Store A,500,75,249,181
1/18/2024,Espresso,South,Store D,501,154,207,224
1/18/2024,Espresso,West,Store C,386,114,241,102
1/18/2024,Latte,South,Store B,381,62,145,157
1/18/2024,Espresso,West,Store C,332,181,169,119
1/18/2024,Latte,West,Store C,357,160,207,101
1/18/2024,Latte,North,Store D,412,120,130,144
1/18/2024,Mocha,North,Store D,471,7,213,140
1/18/2024,Cappuccino,East,Store D,385,185,99,208
1/18/2024,Espresso,East,Store D,367,166,151,320
1/18/2024,Espresso,East,Store A,505,91,87,257
1/18/2024,Mocha,North,Store A,345,198,103,265
1/18/2024,Cappuccino,North,Store C,440,61,200,144
1/18/2024,Espresso,North,Store B,467,147,138,281
1/18/2024,Mocha,West,Store D,512,25,211,321
1/18/2024,Cappuccino,West,Store A,300,3,153,287
1/18/2024,Mocha,South,Store A,420,54,82,268
1/18/2024,Mocha,East,Store D,352,82,143,180
1/18/2024,Mocha,East,Store C,397,34,108,270
1/18/2024,Cappuccino,South,Store A,384,73,107,310
1/19/2024,Cappuccino,East,Store D,596,133,119,262
1/19/2024,Latte,North,Store B,514,18,148,122
1/19/2024,Latte,West,Store B,588,7,244,396
1/19/2024,Latte,East,Store A,546,102,142,142
1/19/2024,Latte,West,Store C,332,14,89,131
1/19/2024,Latte,South,Store D,494,131,100,396
1/19/2024,Latte,East,Store B,378,193,63,123
1/19/2024,Cappuccino,North,Store C,445,50,78,188
1/19/2024,Mocha,West,Store A,550,17,192,278
1/19/2024,Espresso,South,Store B,377,86,165,295
1/19/2024,Mocha,West,Store A,302,5,178,100
1/19/2024,Espresso,West,Store D,343,134,121,209
1/19/2024,Latte,East,Store C,445,181,115,144
1/19/2024,Espresso,North,Store C,530,112,87,301
1/19/2024,Cappuccino,South,Store B,360,31,178,396
1/19/2024,Espresso,West,Store C,418,162,239,368
1/19/2024,Cappuccino,North,Store B,318,186,222,356
1/19/2024,Mocha,South,Store A,324,8,146,287
1/19/2024,Latte,East,Store D,549,24,197,347
1/19/2024,Cappuccino,South,Store D,520,110,202,238
1/19/2024,Cappuccino,East,Store A,493,56,131,284
1/19/2024,Mocha,East,Store A,384,18,148,258
1/19/2024,Espresso,North,Store A,336,189,173,170
1/19/2024,Cappuccino,South,Store A,484,52,76,221
1/20/2024,Mocha,North,Store A,305,15,244,151
1/20/2024,Mocha,West,Store C,303,22,90,383
1/20/2024,Espresso,South,Store B,387,33,127,195
1/20/2024,Latte,East,Store A,472,80,75,124
1/20/2024,Latte,South,Store D,328,185,199,212
1/20/2024,Cappuccino,North,Store D,335,171,174,309
1/20/2024,Cappuccino,North,Store D,349,10,199,188
1/20/2024,Cappuccino,West,Store D,430,112,67,317
1/20/2024,Latte,North,Store C,557,54,165,273
1/20/2024,Mocha,North,Store D,446,193,69,174
1/20/2024,Espresso,South,Store D,379,64,150,121
1/20/2024,Mocha,South,Store C,527,85,84,138
1/20/2024,Mocha,South,Store C,563,15,71,386
1/20/2024,Mocha,West,Store A,533,129,152,337
1/20/2024,Cappuccino,East,Store D,486,149,243,175
1/20/2024,Mocha,North,Store D,481,162,109,167
1/20/2024,Mocha,East,Store C,464,73,60,354
1/20/2024,Cappuccino,South,Store C,539,59,126,188
1/20/2024,Cappuccino,South,Store B,544,98,110,269
1/20/2024,Latte,East,Store C,333,98,77,109
1/20/2024,Latte,South,Store B,451,39,74,371
1/20/2024,Espresso,East,Store D,535,147,137,244
1/20/2024,Espresso,West,Store C,344,168,142,334
1/20/2024,Cappuccino,East,Store B,512,27,90,272
1/21/2024,Mocha,West,Store B,375,179,93,138
1/21/2024,Mocha,West,Store A,492,9,169,247
1/21/2024,Latte,West,Store B,575,125,192,192
1/21/2024,Mocha,North,Store C,387,115,159,356
1/21/2024,Mocha,South,Store B,522,112,102,260
1/21/2024,Cappuccino,South,Store B,346,139,148,354
1/21/2024,Mocha,South,Store D,581,194,106,151
1/21/2024,Cappuccino,West,Store B,399,144,181,266
1/21/2024,Cappuccino,West,Store C,581,69,182,319
1/21/2024,Latte,East,Store A,466,155,60,359
1/21/2024,Cappuccino,North,Store B,325,37,187,368
1/21/2024,Cappuccino,East,Store A,387,18,190,182
1/21/2024,Mocha,West,Store A,573,154,201,330
1/21/2024,Latte,West,Store B,510,128,72,371
1/21/2024,Espresso,East,Store B,472,94,142,154
1/21/2024,Mocha,West,Store C,406,83,237,369
1/21/2024,Espresso,South,Store C,507,128,152,144
1/21/2024,Latte,East,Store D,302,147,130,278
1/21/2024,Cappuccino,West,Store D,521,17,79,305
1/21/2024,Cappuccino,West,Store D,373,5,105,145
1/21/2024,Cappuccino,North,Store D,513,22,97,299
1/21/2024,Cappuccino,North,Store D,363,8,78,385
1/21/2024,Espresso,North,Store A,393,88,93,250
1/21/2024,Cappuccino,West,Store C,597,14,221,172
1/22/2024,Espresso,West,Store B,521,176,71,104
1/22/2024,Cappuccino,North,Store C,338,11,158,242
1/22/2024,Latte,West,Store D,556,131,119,106
1/22/2024,Espresso,South,Store B,518,49,161,181
1/22/2024,Espresso,West,Store B,356,45,61,176
1/22/2024,Latte,South,Store A,590,176,134,133
1/22/2024,Mocha,West,Store A,534,57,196,382
1/22/2024,Latte,North,Store A,526,81,192,203
1/22/2024,Latte,North,Store C,364,142,102,217
1/22/2024,Mocha,South,Store A,533,35,132,283
1/22/2024,Espresso,East,Store B,479,100,149,110
1/22/2024,Espresso,East,Store A,548,128,212,320
1/22/2024,Latte,West,Store B,368,146,73,121
1/22/2024,Latte,East,Store D,366,155,204,398
1/22/2024,Cappuccino,South,Store A,467,19,225,291
1/22/2024,Mocha,South,Store D,588,89,73,283
1/22/2024,Mocha,North,Store D,383,33,88,117
1/22/2024,Latte,West,Store A,359,132,78,379
1/22/2024,Espresso,East,Store B,562,36,201,185
1/22/2024,Cappuccino,West,Store A,449,38,93,373
1/22/2024,Espresso,North,Store D,505,89,110,274
1/22/2024,Mocha,North,Store C,444,188,182,129
1/22/2024,Mocha,East,Store C,577,69,70,301
1/22/2024,Espresso,South,Store C,579,35,239,373
1/23/2024,Mocha,West,Store D,363,86,74,282
