Date,Product,Quantity Sold,Sale Price,Region,Store Location,Promotions Applied,Sales Channel,Customer Count,Time of Day
1/2/2024,Cappuccino,54,3.97,South,Store C,No,Online,2,Afternoon
1/2/2024,Mocha,86,4.19,South,Store B,No,In-store,4,Evening
1/2/2024,Mocha,15,3.08,North,Store D,Yes,Online,2,Night
1/2/2024,Cappuccino,70,3.82,West,Store B,Yes,Delivery,3,Night
1/2/2024,Cappuccino,22,4.79,West,Store C,No,In-store,1,Morning
1/2/2024,Latte,36,3.76,North,Store A,Yes,Delivery,2,Evening
1/2/2024,Mocha,99,4.31,South,Store A,No,In-store,4,Afternoon
1/2/2024,Mocha,79,3.41,East,Store D,No,In-store,1,Afternoon
1/2/2024,Espresso,74,4.43,North,Store C,Yes,Online,4,Night
1/2/2024,Espresso,37,5.17,East,Store A,No,Online,3,Evening
1/2/2024,Latte,71,3.36,South,Store C,Yes,Online,2,Afternoon
1/2/2024,Latte,86,4.08,North,Store A,No,Online,3,Afternoon
1/2/2024,Latte,95,3.3,East,Store D,No,In-store,4,Evening
1/2/2024,Cappuccino,96,3.08,South,Store A,No,Online,3,Afternoon
1/2/2024,Espresso,36,3.54,North,Store A,Yes,Online,2,Afternoon
1/3/2024,Cappuccino,64,3.76,South,Store D,No,Online,4,Evening
1/3/2024,Espresso,79,4.15,South,Store A,No,In-store,2,Morning
1/3/2024,Mocha,14,5.06,North,Store A,No,Delivery,4,Morning
1/3/2024,Mocha,78,4.81,East,Store B,No,In-store,4,Morning
1/3/2024,Latte,59,5.23,North,Store A,No,In-store,2,Afternoon
1/3/2024,Mocha,27,3.48,West,Store A,No,Online,3,Night
1/3/2024,Cappuccino,13,5.37,East,Store D,No,Online,4,Evening
1/3/2024,Cappuccino,38,3.93,North,Store B,No,Online,3,Evening
1/3/2024,Cappuccino,18,3.28,West,Store B,No,Online,4,Night
1/3/2024,Mocha,52,5.14,East,Store D,Yes,Delivery,3,Morning
1/3/2024,Latte,21,3.1,South,Store D,Yes,In-store,2,Evening
1/3/2024,Espresso,74,5.19,North,Store D,Yes,Online,4,Afternoon
1/3/2024,Cappuccino,63,3.1,South,Store C,No,In-store,2,Afternoon
1/3/2024,Mocha,86,5.39,North,Store D,No,In-store,1,Evening
1/3/2024,Latte,62,4.27,South,Store C,No,In-store,3,Evening
1/3/2024,Espresso,20,4.58,North,Store C,No,Online,1,Night
1/3/2024,Mocha,22,4.38,South,Store B,No,Online,4,Night
1/3/2024,Mocha,83,5.24,West,Store A,Yes,Online,1,Night
1/3/2024,Mocha,1,3.39,South,Store D,No,In-store,2,Afternoon
1/3/2024,Mocha,18,4.66,North,Store D,No,In-store,1,Afternoon
1/3/2024,Latte,21,5.25,South,Store D,No,In-store,2,Morning
1/3/2024,Latte,83,4.46,East,Store A,Yes,Online,1,Night
1/3/2024,Cappuccino,56,4.51,East,Store A,No,In-store,2,Afternoon
1/3/2024,Cappuccino,20,5.14,North,Store C,No,In-store,1,Afternoon
1/4/2024,Espresso,92,3.6,West,Store C,Yes,Online,3,Afternoon
1/4/2024,Espresso,85,3.06,East,Store C,Yes,Delivery,2,Afternoon
1/4/2024,Espresso,93,3.01,West,Store A,Yes,Online,3,Evening
1/4/2024,Cappuccino,39,5.42,East,Store A,No,Delivery,3,Evening
1/4/2024,Mocha,75,4.94,North,Store B,Yes,In-store,4,Evening
1/4/2024,Mocha,35,3.53,East,Store D,No,Online,1,Morning
1/4/2024,Espresso,76,5.1,West,Store A,Yes,Delivery,2,Night
1/4/2024,Latte,72,4.57,South,Store A,Yes,Delivery,3,Afternoon
1/4/2024,Cappuccino,92,5.11,North,Store B,No,Delivery,1,Morning
1/4/2024,Espresso,32,3.1,East,Store C,No,Delivery,2,Evening
1/4/2024,Latte,58,3.49,West,Store D,Yes,In-store,3,Night
1/4/2024,Latte,94,3.3,North,Store B,No,Online,3,Evening
1/4/2024,Latte,82,5.24,North,Store D,No,Delivery,2,Afternoon
1/4/2024,Latte,92,4.69,West,Store A,Yes,Online,1,Afternoon
1/4/2024,Espresso,80,3.77,South,Store C,No,In-store,1,Night
1/4/2024,Cappuccino,28,4.16,South,Store D,No,Delivery,3,Afternoon
1/4/2024,Cappuccino,86,4.86,North,Store B,No,In-store,2,Evening
1/4/2024,Latte,56,5.35,East,Store D,No,Delivery,1,Evening
1/4/2024,Espresso,83,4.0,West,Store B,Yes,Online,3,Night
1/4/2024,Mocha,17,3.41,South,Store A,No,In-store,2,Evening
1/4/2024,Mocha,80,4.67,West,Store D,Yes,Online,3,Morning
1/4/2024,Mocha,81,3.28,South,Store A,No,In-store,3,Night
1/4/2024,Latte,53,3.17,South,Store C,No,In-store,4,Morning
1/4/2024,Espresso,49,4.46,East,Store A,No,Delivery,1,Evening
1/5/2024,Espresso,11,5.4,West,Store A,Yes,In-store,4,Night
1/5/2024,Latte,52,4.3,South,Store D,No,Online,4,Night
1/5/2024,Mocha,27,3.97,West,Store C,No,Online,1,Night
1/5/2024,Cappuccino,27,4.22,North,Store D,Yes,In-store,3,Morning
1/5/2024,Latte,3,5.44,North,Store B,No,Online,3,Evening
1/5/2024,Mocha,37,3.19,South,Store A,No,Delivery,4,Morning
1/5/2024,Latte,2,4.84,North,Store A,Yes,Online,1,Night
1/5/2024,Espresso,14,5.29,East,Store A,No,Online,4,Night
1/5/2024,Cappuccino,41,4.62,West,Store B,Yes,In-store,2,Morning
1/5/2024,Mocha,89,5.36,South,Store B,Yes,Online,2,Night
1/5/2024,Espresso,86,3.52,South,Store D,Yes,Delivery,3,Night
1/5/2024,Espresso,9,3.82,North,Store D,No,In-store,2,Night
1/5/2024,Cappuccino,69,5.31,South,Store B,Yes,In-store,2,Night
1/5/2024,Mocha,25,3.56,West,Store C,No,In-store,2,Evening
1/5/2024,Latte,10,5.18,West,Store C,No,Delivery,3,Afternoon
1/5/2024,Cappuccino,13,3.57,North,Store C,No,In-store,1,Evening
1/5/2024,Latte,13,3.68,West,Store C,No,In-store,3,Afternoon
1/5/2024,Mocha,81,5.12,East,Store D,Yes,Online,3,Night
1/5/2024,Espresso,73,3.97,West,Store C,Yes,Delivery,3,Afternoon
1/5/2024,Cappuccino,87,3.37,West,Store C,No,Delivery,3,Evening
1/5/2024,Espresso,32,3.8,North,Store D,No,Online,2,Morning
1/5/2024,Mocha,33,3.22,West,Store B,No,Online,3,Afternoon
1/5/2024,Espresso,56,4.62,South,Store A,No,Online,3,Night
1/5/2024,Latte,5,4.82,East,Store A,No,In-store,4,Night
1/6/2024,Espresso,45,4.3,South,Store C,No,Delivery,1,Evening
1/6/2024,Mocha,40,3.3,North,Store B,Yes,Online,3,Morning
1/6/2024,Espresso,30,3.57,East,Store B,Yes,Online,2,Morning
1/6/2024,Mocha,55,5.41,South,Store D,Yes,Delivery,4,Morning
1/6/2024,Cappuccino,12,4.11,West,Store D,No,Delivery,2,Night
1/6/2024,Cappuccino,92,5.11,East,Store C,No,Delivery,3,Morning
1/6/2024,Espresso,58,4.45,North,Store A,Yes,Delivery,4,Night
1/6/2024,Latte,68,3.97,West,Store C,No,In-store,1,Morning
1/6/2024,Latte,69,4.13,East,Store C,Yes,Delivery,3,Evening
1/6/2024,Mocha,71,3.03,South,Store A,No,Delivery,1,Evening
1/6/2024,Espresso,74,4.35,East,Store B,Yes,In-store,4,Night
1/6/2024,Cappuccino,11,4.44,South,Store B,Yes,Online,2,Evening
1/6/2024,Latte,83,3.78,South,Store A,No,Online,4,Evening
1/6/2024,Latte,63,3.44,West,Store B,No,Delivery,4,Morning
1/6/2024,Latte,49,3.37,West,Store D,No,Delivery,1,Afternoon
1/6/2024,Espresso,71,5.2,East,Store C,Yes,Online,4,Evening
1/6/2024,Cappuccino,3,3.39,West,Store C,Yes,In-store,3,Afternoon
1/6/2024,Espresso,67,5.29,East,Store D,No,Delivery,1,Night
1/6/2024,Mocha,62,4.88,West,Store A,Yes,In-store,3,Afternoon
1/6/2024,Mocha,38,3.98,South,Store B,No,Delivery,3,Night
1/6/2024,Mocha,10,5.46,North,Store A,No,Online,2,Night
1/6/2024,Mocha,38,5.46,North,Store A,No,Online,1,Afternoon
1/6/2024,Mocha,13,5.48,North,Store D,No,Online,1,Evening
1/6/2024,Mocha,63,3.25,East,Store D,No,Delivery,2,Evening
1/7/2024,Latte,44,4.25,East,Store C,Yes,Delivery,3,Evening
1/7/2024,Cappuccino,24,4.83,North,Store B,No,Online,4,Afternoon
1/7/2024,Espresso,49,4.49,South,Store C,No,Online,3,Night
1/7/2024,Espresso,72,5.38,West,Store C,No,Online,3,Afternoon
1/7/2024,Espresso,4,5.18,East,Store D,No,Online,4,Afternoon
1/7/2024,Mocha,4,3.94,South,Store B,No,Delivery,1,Evening
1/7/2024,Espresso,72,3.08,West,Store C,No,Online,1,Evening
1/7/2024,Espresso,100,3.25,North,Store B,Yes,Online,1,Afternoon
1/7/2024,Espresso,95,4.35,West,Store B,No,Delivery,2,Night
1/7/2024,Latte,21,3.99,West,Store B,No,Delivery,4,Afternoon
1/7/2024,Cappuccino,67,5.39,East,Store B,No,In-store,1,Night
1/7/2024,Mocha,5,4.15,North,Store C,No,In-store,4,Afternoon
1/7/2024,Espresso,97,3.69,West,Store D,No,Online,1,Evening
1/7/2024,Cappuccino,9,3.64,North,Store C,Yes,Delivery,4,Night
1/7/2024,Latte,28,5.13,East,Store A,No,Online,2,Evening
1/7/2024,Espresso,77,3.99,South,Store D,No,Online,1,Evening
1/7/2024,Cappuccino,41,3.43,West,Store D,No,Delivery,4,Night
1/7/2024,Espresso,68,3.23,North,Store B,No,In-store,2,Afternoon
1/7/2024,Espresso,31,3.51,North,Store D,Yes,Delivery,4,Morning
1/7/2024,Latte,2,4.3,West,Store B,No,In-store,1,Morning
1/7/2024,Mocha,100,4.84,North,Store B,Yes,In-store,4,Afternoon
1/7/2024,Cappuccino,14,4.28,East,Store A,Yes,In-store,1,Night
1/7/2024,Cappuccino,65,4.29,South,Store D,Yes,Online,1,Night
1/7/2024,Espresso,43,5.02,West,Store B,Yes,In-store,1,Morning
1/8/2024,Latte,22,4.13,North,Store C,No,In-store,3,Night
1/8/2024,Latte,55,3.19,West,Store D,Yes,Online,2,Morning
1/8/2024,Espresso,38,5.2,North,Store D,Yes,Online,1,Morning
1/8/2024,Cappuccino,65,4.92,South,Store D,Yes,Online,1,Night
1/8/2024,Mocha,85,3.23,South,Store D,No,In-store,2,Afternoon
1/8/2024,Espresso,44,3.69,East,Store C,Yes,Delivery,1,Evening
1/8/2024,Cappuccino,25,3.11,South,Store D,Yes,Delivery,1,Morning
1/8/2024,Espresso,67,3.6,South,Store A,No,Online,3,Afternoon
1/8/2024,Mocha,58,3.68,South,Store A,No,Delivery,2,Night
1/8/2024,Mocha,92,4.17,West,Store A,Yes,In-store,4,Afternoon
1/8/2024,Latte,24,5.08,South,Store A,Yes,Delivery,4,Evening
1/8/2024,Mocha,9,5.09,South,Store D,No,Delivery,2,Evening
1/8/2024,Cappuccino,25,3.42,East,Store B,No,In-store,2,Morning
1/8/2024,Latte,7,4.51,West,Store A,Yes,Online,3,Morning
1/8/2024,Cappuccino,82,4.25,West,Store B,Yes,In-store,1,Evening
1/8/2024,Espresso,10,4.11,South,Store C,Yes,Delivery,1,Night
1/8/2024,Latte,43,3.35,West,Store C,No,Delivery,3,Night
1/8/2024,Mocha,40,4.28,North,Store A,Yes,Online,3,Evening
1/8/2024,Cappuccino,79,4.97,South,Store B,Yes,Online,3,Evening
1/8/2024,Espresso,90,3.45,South,Store B,Yes,In-store,3,Night
1/8/2024,Latte,2,3.67,South,Store C,Yes,Online,2,Evening
1/8/2024,Mocha,43,4.29,North,Store A,No,Online,3,Evening
1/8/2024,Cappuccino,100,3.54,South,Store C,No,In-store,3,Evening
1/8/2024,Espresso,46,3.11,West,Store B,Yes,Online,2,Morning
1/9/2024,Latte,82,4.33,South,Store B,No,Online,2,Afternoon
1/9/2024,Espresso,44,4.26,South,Store A,No,Online,2,Afternoon
1/9/2024,Espresso,13,4.94,East,Store A,No,In-store,1,Morning
1/9/2024,Cappuccino,14,5.45,South,Store C,No,Delivery,3,Night
1/9/2024,Mocha,82,4.54,West,Store D,No,Delivery,3,Night
1/9/2024,Cappuccino,31,4.77,East,Store B,Yes,Online,1,Night
1/9/2024,Mocha,10,4.91,East,Store D,Yes,Delivery,4,Night
1/9/2024,Mocha,2,4.37,West,Store D,Yes,Online,2,Evening
1/9/2024,Mocha,71,3.63,North,Store D,Yes,In-store,3,Night
1/9/2024,Latte,40,3.94,East,Store D,No,Delivery,4,Afternoon
1/9/2024,Latte,13,3.39,South,Store B,Yes,Delivery,4,Afternoon
1/9/2024,Mocha,69,4.73,South,Store B,Yes,Online,1,Afternoon
1/9/2024,Latte,74,3.0,East,Store D,No,Delivery,2,Morning
1/9/2024,Espresso,6,5.42,South,Store C,No,Delivery,3,Evening
1/9/2024,Mocha,68,3.9,West,Store C,Yes,Online,4,Morning
1/9/2024,Mocha,23,4.23,East,Store A,Yes,Online,2,Evening
1/9/2024,Mocha,91,3.88,North,Store B,Yes,Delivery,2,Afternoon
1/9/2024,Latte,61,3.62,East,Store A,Yes,In-store,1,Morning
1/9/2024,Espresso,68,4.36,North,Store C,No,Online,1,Evening
1/9/2024,Mocha,2,5.01,South,Store C,Yes,In-store,4,Morning
1/9/2024,Espresso,76,4.17,East,Store C,No,Delivery,4,Morning
1/9/2024,Espresso,53,3.76,South,Store D,No,Online,2,Night
1/9/2024,Cappuccino,7,5.48,West,Store A,Yes,Delivery,3,Night
1/9/2024,Mocha,60,4.22,North,Store B,No,Online,3,Morning
1/10/2024,Mocha,94,3.35,West,Store C,Yes,Online,3,Afternoon
1/10/2024,Cappuccino,99,5.11,East,Store A,Yes,In-store,1,Afternoon
1/10/2024,Mocha,34,4.08,North,Store A,Yes,Online,3,Evening
1/10/2024,Cappuccino,50,3.07,East,Store C,No,Delivery,1,Night
1/10/2024,Cappuccino,58,4.41,South,Store C,No,In-store,2,Night
1/10/2024,Espresso,74,3.77,West,Store A,Yes,In-store,3,Morning
1/10/2024,Cappuccino,3,5.27,East,Store B,Yes,Online,4,Afternoon
1/10/2024,Mocha,60,4.96,North,Store B,Yes,In-store,1,Evening
1/10/2024,Mocha,64,4.26,East,Store D,Yes,Online,2,Evening
1/10/2024,Espresso,93,5.16,East,Store B,No,Delivery,4,Night
1/10/2024,Espresso,92,5.34,North,Store B,No,In-store,1,Morning
1/10/2024,Mocha,54,3.21,North,Store B,Yes,Delivery,2,Morning
1/10/2024,Mocha,46,3.62,East,Store D,Yes,Delivery,1,Night
1/10/2024,Espresso,39,5.04,West,Store D,No,Delivery,1,Afternoon
1/10/2024,Cappuccino,18,3.56,South,Store C,No,Delivery,1,Afternoon
1/10/2024,Espresso,50,5.25,South,Store A,No,Online,1,Afternoon
1/10/2024,Cappuccino,48,5.28,East,Store A,No,In-store,3,Night
1/10/2024,Mocha,65,3.03,South,Store C,Yes,Delivery,3,Afternoon
1/10/2024,Mocha,59,5.45,North,Store B,No,Delivery,2,Night
1/10/2024,Cappuccino,78,3.25,South,Store A,Yes,Online,4,Night
1/10/2024,Espresso,75,4.17,East,Store A,Yes,In-store,2,Afternoon
1/10/2024,Espresso,16,4.2,West,Store B,No,In-store,2,Night
1/10/2024,Espresso,25,4.04,South,Store A,No,Delivery,2,Morning
1/10/2024,Latte,39,3.69,South,Store B,No,Delivery,1,Night
1/11/2024,Latte,40,4.47,South,Store C,No,Online,4,Afternoon
1/11/2024,Mocha,54,5.42,South,Store B,Yes,Delivery,3,Night
1/11/2024,Espresso,87,4.78,West,Store B,Yes,Delivery,1,Morning
1/11/2024,Cappuccino,96,4.4,East,Store C,Yes,In-store,1,Morning
1/11/2024,Mocha,57,4.63,South,Store A,No,In-store,4,Morning
1/11/2024,Cappuccino,90,3.16,North,Store C,No,Online,1,Night
1/11/2024,Latte,26,4.2,East,Store D,Yes,Online,4,Morning
1/11/2024,Latte,37,4.36,South,Store D,Yes,In-store,3,Morning
1/11/2024,Cappuccino,70,3.37,South,Store C,Yes,Online,4,Morning
1/11/2024,Cappuccino,41,3.21,South,Store A,Yes,Delivery,3,Evening
1/11/2024,Latte,29,4.83,North,Store D,No,Online,4,Afternoon
1/11/2024,Espresso,49,3.95,South,Store C,No,Delivery,3,Night
1/11/2024,Espresso,15,3.53,South,Store D,No,Delivery,2,Afternoon
1/11/2024,Latte,79,4.4,West,Store C,No,In-store,2,Morning
1/11/2024,Latte,24,3.26,South,Store B,Yes,Online,2,Morning
1/11/2024,Latte,26,3.22,West,Store A,No,Online,4,Afternoon
1/11/2024,Cappuccino,28,4.5,South,Store A,No,In-store,4,Morning
1/11/2024,Latte,65,3.51,West,Store C,Yes,Online,2,Morning
1/11/2024,Latte,57,4.75,East,Store B,Yes,In-store,1,Evening
1/11/2024,Cappuccino,54,4.24,South,Store B,Yes,In-store,2,Evening
1/11/2024,Latte,3,4.51,East,Store A,No,In-store,2,Night
1/11/2024,Mocha,36,4.44,West,Store A,No,Online,4,Night
1/11/2024,Latte,80,4.9,North,Store C,Yes,Delivery,2,Morning
1/11/2024,Espresso,76,4.71,South,Store D,Yes,In-store,3,Morning
1/12/2024,Latte,55,3.16,East,Store C,Yes,In-store,4,Morning
1/12/2024,Latte,44,4.51,East,Store B,Yes,Delivery,4,Night
1/12/2024,Latte,6,4.58,East,Store B,No,In-store,2,Night
1/12/2024,Espresso,75,4.78,West,Store C,Yes,In-store,4,Evening
1/12/2024,Espresso,23,3.51,North,Store A,No,Online,4,Morning
1/12/2024,Espresso,42,4.36,South,Store D,No,Delivery,2,Afternoon
1/12/2024,Espresso,72,3.08,South,Store D,Yes,Online,1,Evening
1/12/2024,Espresso,86,5.0,East,Store D,Yes,Delivery,2,Night
1/12/2024,Espresso,20,5.01,West,Store D,No,Online,3,Afternoon
1/12/2024,Cappuccino,92,5.03,North,Store B,No,Online,2,Night
1/12/2024,Cappuccino,67,4.7,East,Store B,No,Delivery,1,Night
1/12/2024,Mocha,72,3.35,West,Store B,Yes,Online,4,Night
1/12/2024,Latte,75,4.17,North,Store D,No,In-store,4,Night
1/12/2024,Mocha,80,5.5,South,Store A,No,Delivery,4,Afternoon
1/12/2024,Mocha,24,4.35,South,Store B,No,In-store,2,Night
1/12/2024,Mocha,9,4.68,West,Store C,No,Delivery,3,Evening
1/12/2024,Mocha,44,4.8,South,Store B,No,Online,4,Morning
1/12/2024,Espresso,82,3.75,West,Store C,No,Delivery,1,Afternoon
1/12/2024,Latte,50,4.34,West,Store C,Yes,Delivery,4,Afternoon
1/12/2024,Latte,34,5.02,East,Store D,Yes,In-store,1,Night
1/12/2024,Mocha,26,3.26,South,Store A,Yes,In-store,1,Afternoon
1/12/2024,Cappuccino,88,5.35,West,Store D,No,Online,3,Evening
1/12/2024,Cappuccino,68,4.09,East,Store B,No,Online,1,Evening
1/12/2024,Espresso,53,3.9,North,Store D,Yes,Online,2,Evening
1/13/2024,Mocha,33,3.78,North,Store B,Yes,Delivery,3,Afternoon
1/13/2024,Cappuccino,3,4.65,North,Store A,No,Online,4,Night
1/13/2024,Espresso,60,4.63,South,Store A,No,In-store,2,Afternoon
1/13/2024,Espresso,36,4.19,North,Store D,Yes,Delivery,4,Morning
1/13/2024,Latte,88,3.71,West,Store D,Yes,Online,3,Afternoon
1/13/2024,Cappuccino,78,4.81,North,Store D,Yes,Delivery,3,Afternoon
1/13/2024,Espresso,87,3.5,South,Store A,No,Delivery,4,Night
1/13/2024,Latte,80,4.84,East,Store B,No,In-store,4,Evening
1/13/2024,Latte,72,3.12,West,Store D,Yes,Delivery,1,Morning
1/13/2024,Latte,13,5.39,East,Store D,No,Online,1,Afternoon
1/13/2024,Espresso,58,4.71,North,Store A,Yes,Online,1,Afternoon
1/13/2024,Cappuccino,76,4.32,North,Store C,No,In-store,2,Night
1/13/2024,Latte,6,4.35,East,Store A,No,In-store,2,Afternoon
1/13/2024,Cappuccino,77,3.87,North,Store C,Yes,In-store,2,Night
1/13/2024,Cappuccino,48,3.65,East,Store A,No,In-store,4,Night
1/13/2024,Espresso,16,3.71,South,Store B,Yes,Online,2,Afternoon
1/13/2024,Espresso,43,4.14,South,Store C,No,Online,1,Evening
1/13/2024,Cappuccino,66,4.59,East,Store D,Yes,In-store,4,Afternoon
1/13/2024,Cappuccino,85,5.35,East,Store C,Yes,Online,2,Afternoon
1/13/2024,Espresso,87,4.46,South,Store B,No,Online,3,Morning
1/13/2024,Cappuccino,22,3.52,West,Store B,No,Delivery,2,Morning
1/13/2024,Cappuccino,5,3.83,South,Store A,Yes,In-store,1,Afternoon
1/13/2024,Latte,20,3.7,South,Store B,No,In-store,3,Morning
1/13/2024,Mocha,83,4.19,West,Store A,No,In-store,1,Afternoon
1/14/2024,Mocha,88,4.76,North,Store C,Yes,In-store,3,Morning
1/14/2024,Mocha,71,3.84,South,Store B,No,Online,1,Evening
1/14/2024,Latte,7,4.3,East,Store D,Yes,Online,2,Morning
1/14/2024,Latte,24,5.18,South,Store D,No,In-store,1,Morning
1/14/2024,Espresso,3,3.52,West,Store D,No,In-store,2,Morning
1/14/2024,Cappuccino,34,5.0,East,Store B,No,Delivery,2,Afternoon
1/14/2024,Mocha,92,3.54,South,Store A,Yes,Online,1,Night
1/14/2024,Latte,11,5.26,South,Store C,No,Delivery,2,Afternoon
1/14/2024,Espresso,44,5.16,East,Store B,Yes,Delivery,2,Night
1/14/2024,Mocha,37,4.68,East,Store C,Yes,In-store,3,Morning
1/14/2024,Cappuccino,56,5.14,South,Store A,No,Delivery,3,Night
1/14/2024,Espresso,42,4.99,South,Store D,Yes,In-store,3,Afternoon
1/14/2024,Espresso,45,3.84,South,Store D,No,Online,3,Afternoon
1/14/2024,Espresso,97,5.07,North,Store B,Yes,Online,4,Night
1/14/2024,Mocha,39,4.74,South,Store D,No,In-store,4,Afternoon
1/14/2024,Latte,70,4.2,West,Store B,Yes,Online,3,Evening
1/14/2024,Espresso,5,5.16,East,Store C,Yes,Delivery,1,Morning
1/14/2024,Espresso,71,3.66,South,Store D,No,In-store,2,Afternoon
1/14/2024,Latte,24,5.38,East,Store A,No,Delivery,1,Night
1/14/2024,Mocha,25,4.38,North,Store D,Yes,Online,4,Afternoon
1/14/2024,Cappuccino,34,3.64,North,Store C,No,In-store,2,Evening
1/14/2024,Latte,62,3.46,South,Store C,Yes,In-store,2,Evening
1/14/2024,Mocha,64,3.72,West,Store C,No,Online,1,Morning
1/14/2024,Espresso,11,5.0,South,Store A,No,Online,1,Afternoon
1/15/2024,Espresso,6,4.59,West,Store C,Yes,In-store,4,Night
1/15/2024,Latte,38,4.11,North,Store D,No,Delivery,3,Evening
1/15/2024,Mocha,75,4.81,West,Store A,No,In-store,4,Evening
1/15/2024,Mocha,7,4.13,North,Store C,Yes,In-store,3,Night
1/15/2024,Espresso,88,4.89,North,Store D,No,In-store,3,Evening
1/15/2024,Cappuccino,100,4.62,West,Store B,Yes,Delivery,3,Evening
1/15/2024,Espresso,14,5.4,North,Store A,No,In-store,3,Night
1/15/2024,Mocha,24,5.13,North,Store D,No,Online,2,Morning
1/15/2024,Cappuccino,99,4.48,South,Store C,No,In-store,4,Evening
1/15/2024,Mocha,64,3.06,East,Store A,Yes,Online,4,Evening
1/15/2024,Latte,62,4.46,West,Store C,Yes,Online,3,Morning
1/15/2024,Mocha,73,3.91,East,Store B,Yes,In-store,4,Night
1/15/2024,Espresso,47,4.36,East,Store D,No,Delivery,2,Evening
1/15/2024,Latte,94,5.0,West,Store C,No,Online,4,Afternoon
1/15/2024,Cappuccino,82,4.76,South,Store D,No,In-store,2,Morning
1/15/2024,Cappuccino,37,4.8,South,Store C,No,Online,2,Morning
1/15/2024,Cappuccino,77,3.94,North,Store C,Yes,Delivery,3,Evening
1/15/2024,Mocha,11,5.31,West,Store C,No,In-store,1,Night
1/15/2024,Espresso,67,5.22,South,Store D,No,In-store,4,Evening
1/15/2024,Cappuccino,9,4.84,East,Store B,No,Online,3,Morning
1/15/2024,Cappuccino,61,3.33,South,Store C,Yes,In-store,2,Night
1/15/2024,Latte,16,3.37,North,Store A,No,In-store,3,Night
1/15/2024,Mocha,11,3.02,East,Store C,Yes,Delivery,1,Evening
1/15/2024,Latte,70,3.93,South,Store D,No,Online,4,Night
1/16/2024,Cappuccino,9,3.62,South,Store D,No,In-store,4,Night
1/16/2024,Mocha,16,3.11,East,Store B,Yes,Online,4,Afternoon
1/16/2024,Cappuccino,37,3.18,West,Store C,Yes,Delivery,1,Morning
1/16/2024,Espresso,51,5.23,South,Store A,No,Delivery,4,Evening
1/16/2024,Espresso,36,4.94,West,Store C,No,Online,1,Night
1/16/2024,Espresso,39,4.22,South,Store D,Yes,In-store,4,Morning
1/16/2024,Mocha,25,5.16,West,Store D,Yes,Delivery,1,Evening
1/16/2024,Mocha,63,3.32,West,Store A,No,Online,3,Night
1/16/2024,Espresso,64,4.42,South,Store B,No,Delivery,1,Morning
1/16/2024,Mocha,9,4.98,North,Store A,Yes,Online,1,Morning
1/16/2024,Latte,48,5.42,North,Store D,Yes,In-store,4,Evening
1/16/2024,Mocha,92,3.91,North,Store D,No,In-store,3,Evening
