Promotion ID,Product,Promotion Type,Start Date,End Date,Regions Targeted,Success Rate (%)
P0103,Latte,Bundle,1/5/2024,1/6/2024,West,82.98
P0104,Cappuccino,Discount,1/5/2024,1/6/2024,South,50.81
P0105,Latte,Discount,1/5/2024,1/6/2024,West,37.26
P0106,Espresso,Discount,1/5/2024,1/6/2024,East,53.84
P0107,Mocha,Bundle,1/5/2024,1/6/2024,South,54.03
P0108,Latte,BOGO,1/5/2024,1/6/2024,West,20.06
P0109,Espresso,Discount,1/5/2024,1/6/2024,East,52.66
P0110,Espresso,Discount,1/5/2024,1/6/2024,East,40.98
P0111,Mocha,Discount,1/5/2024,1/6/2024,South,22.13
P0112,Cappuccino,Free Sample,1/5/2024,1/6/2024,East,11.43
P0113,Mocha,Bundle,1/5/2024,1/6/2024,North,28.26
P0114,Mocha,Bundle,1/5/2024,1/6/2024,North,48.11
P0115,Mocha,Discount,1/5/2024,1/6/2024,East,82.75
P0116,Cappuccino,Bundle,1/5/2024,1/6/2024,South,40.02
P0117,Mocha,Bundle,1/5/2024,1/6/2024,South,17.92
P0118,Latte,BOGO,1/5/2024,1/6/2024,North,36.82
P0119,Cappuccino,Discount,1/5/2024,1/6/2024,East,87.51
P0120,Mocha,Discount,1/5/2024,1/6/2024,West,82.71
P0121,Mocha,BOGO,1/6/2024,1/7/2024,West,38.0
P0122,Latte,Discount,1/6/2024,1/7/2024,South,31.21
P0123,Latte,Bundle,1/6/2024,1/7/2024,North,88.79
P0124,Latte,Bundle,1/6/2024,1/7/2024,East,51.62
P0125,Latte,Bundle,1/6/2024,1/7/2024,West,84.19
P0126,Mocha,BOGO,1/6/2024,1/7/2024,South,27.91
P0127,Mocha,Discount,1/6/2024,1/7/2024,North,80.57
P0128,Espresso,Free Sample,1/6/2024,1/7/2024,North,48.53
P0129,Latte,Free Sample,1/6/2024,1/7/2024,West,85.34
P0130,Cappuccino,Discount,1/6/2024,1/7/2024,North,11.34
P0131,Latte,Bundle,1/6/2024,1/7/2024,North,56.45
P0132,Latte,Bundle,1/6/2024,1/7/2024,East,88.04
P0133,Latte,Discount,1/6/2024,1/7/2024,East,38.06
P0134,Mocha,Discount,1/6/2024,1/7/2024,East,76.21
P0135,Cappuccino,Discount,1/6/2024,1/7/2024,East,84.82
P0136,Mocha,Free Sample,1/6/2024,1/7/2024,South,50.93
P0137,Espresso,Free Sample,1/6/2024,1/7/2024,West,39.75
P0138,Latte,Bundle,1/6/2024,1/7/2024,East,83.2
P0139,Espresso,Bundle,1/6/2024,1/7/2024,East,46.18
P0140,Latte,Discount,1/6/2024,1/7/2024,North,60.0
P0141,Latte,Free Sample,1/6/2024,1/7/2024,North,18.79
P0142,Espresso,BOGO,1/6/2024,1/7/2024,South,77.91
P0143,Espresso,Free Sample,1/6/2024,1/7/2024,East,42.6
P0144,Cappuccino,Discount,1/6/2024,1/7/2024,West,19.05
P0145,Espresso,Bundle,1/7/2024,1/8/2024,East,62.84
P0146,Espresso,Discount,1/7/2024,1/8/2024,East,88.88
P0147,Cappuccino,BOGO,1/7/2024,1/8/2024,South,13.6
P0148,Mocha,Bundle,1/7/2024,1/8/2024,West,74.76
P0149,Latte,Discount,1/7/2024,1/8/2024,South,42.38
P0150,Cappuccino,Free Sample,1/7/2024,1/8/2024,South,74.59
P0151,Espresso,Free Sample,1/7/2024,1/8/2024,South,53.7
P0152,Cappuccino,Bundle,1/7/2024,1/8/2024,West,16.62
P0153,Mocha,Free Sample,1/7/2024,1/8/2024,East,45.45
P0154,Mocha,Bundle,1/7/2024,1/8/2024,North,42.45
P0155,Espresso,Bundle,1/7/2024,1/8/2024,West,44.45
P0156,Cappuccino,Bundle,1/7/2024,1/8/2024,West,44.04
P0157,Mocha,BOGO,1/7/2024,1/8/2024,West,82.95
P0158,Cappuccino,Free Sample,1/7/2024,1/8/2024,North,53.42
P0159,Espresso,BOGO,1/7/2024,1/8/2024,North,50.98
P0160,Espresso,Discount,1/7/2024,1/8/2024,West,66.98
P0161,Espresso,Bundle,1/7/2024,1/8/2024,East,42.0
P0162,Mocha,Bundle,1/7/2024,1/8/2024,West,10.38
P0163,Espresso,Free Sample,1/7/2024,1/8/2024,West,59.41
P0164,Espresso,Free Sample,1/7/2024,1/8/2024,North,74.03
P0165,Mocha,Bundle,1/7/2024,1/8/2024,West,19.77
P0166,Mocha,BOGO,1/7/2024,1/8/2024,South,62.89
P0167,Cappuccino,Discount,1/7/2024,1/8/2024,North,37.15
P0168,Mocha,Free Sample,1/7/2024,1/8/2024,East,26.21
P0169,Cappuccino,Discount,1/8/2024,1/9/2024,South,57.44
P0170,Cappuccino,BOGO,1/8/2024,1/9/2024,East,61.56
P0171,Latte,Discount,1/8/2024,1/9/2024,South,65.32
P0172,Cappuccino,Bundle,1/8/2024,1/9/2024,West,72.49
P0173,Mocha,Free Sample,1/8/2024,1/9/2024,North,38.04
P0174,Espresso,BOGO,1/8/2024,1/9/2024,South,27.36
P0175,Mocha,Bundle,1/8/2024,1/9/2024,West,70.87
P0176,Espresso,BOGO,1/8/2024,1/9/2024,North,56.06
P0177,Mocha,BOGO,1/8/2024,1/9/2024,North,27.5
P0178,Cappuccino,Bundle,1/8/2024,1/9/2024,South,72.26
P0179,Latte,Bundle,1/8/2024,1/9/2024,West,52.77
P0180,Espresso,Discount,1/8/2024,1/9/2024,North,26.6
P0181,Cappuccino,BOGO,1/8/2024,1/9/2024,North,67.02
P0182,Cappuccino,Bundle,1/8/2024,1/9/2024,South,87.99
P0183,Espresso,BOGO,1/8/2024,1/9/2024,East,19.64
P0184,Mocha,BOGO,1/8/2024,1/9/2024,South,35.8
P0185,Cappuccino,Free Sample,1/8/2024,1/9/2024,North,57.64
P0186,Latte,Discount,1/8/2024,1/9/2024,East,32.03
P0187,Latte,Bundle,1/8/2024,1/9/2024,North,77.69
P0188,Mocha,Free Sample,1/8/2024,1/9/2024,North,43.05
P0189,Cappuccino,Discount,1/8/2024,1/9/2024,North,67.42
P0190,Cappuccino,Discount,1/8/2024,1/9/2024,North,86.53
P0191,Latte,Discount,1/8/2024,1/9/2024,South,20.58
P0192,Espresso,Free Sample,1/8/2024,1/9/2024,West,85.74
P0193,Espresso,Free Sample,1/9/2024,1/10/2024,West,76.92
P0194,Latte,Free Sample,1/9/2024,1/10/2024,West,13.33
P0195,Latte,Bundle,1/9/2024,1/10/2024,North,15.24
P0196,Latte,BOGO,1/9/2024,1/10/2024,South,78.61
P0197,Espresso,Free Sample,1/9/2024,1/10/2024,South,85.75
P0198,Latte,Free Sample,1/9/2024,1/10/2024,East,60.61
P0199,Mocha,Bundle,1/9/2024,1/10/2024,North,10.02
P0200,Latte,Bundle,1/9/2024,1/10/2024,South,15.25
P0201,Mocha,Free Sample,1/9/2024,1/10/2024,East,74.95
P0202,Mocha,Discount,1/9/2024,1/10/2024,West,51.45
P0203,Mocha,Bundle,1/9/2024,1/10/2024,West,26.95
P0204,Latte,Bundle,1/9/2024,1/10/2024,South,52.4
P0205,Mocha,Discount,1/9/2024,1/10/2024,South,60.46
P0206,Espresso,Free Sample,1/9/2024,1/10/2024,South,46.35
P0207,Espresso,Bundle,1/9/2024,1/10/2024,East,15.66
P0208,Mocha,BOGO,1/9/2024,1/10/2024,North,12.4
P0209,Mocha,BOGO,1/9/2024,1/10/2024,East,88.45
P0210,Espresso,Free Sample,1/9/2024,1/10/2024,East,56.24
P0211,Espresso,Discount,1/9/2024,1/10/2024,North,39.21
P0212,Cappuccino,Free Sample,1/9/2024,1/10/2024,South,36.95
P0213,Latte,Free Sample,1/9/2024,1/10/2024,East,65.24
P0214,Latte,Bundle,1/9/2024,1/10/2024,South,74.67
P0215,Mocha,BOGO,1/9/2024,1/10/2024,East,79.09
P0216,Latte,Free Sample,1/9/2024,1/10/2024,North,86.04
P0217,Latte,BOGO,1/10/2024,1/11/2024,East,20.87
P0218,Mocha,Free Sample,1/10/2024,1/11/2024,North,82.96
P0219,Espresso,Discount,1/10/2024,1/11/2024,South,11.09
P0220,Latte,Bundle,1/10/2024,1/11/2024,East,36.11
P0221,Espresso,Free Sample,1/10/2024,1/11/2024,North,32.18
P0222,Latte,Free Sample,1/10/2024,1/11/2024,North,17.61
P0223,Espresso,Free Sample,1/10/2024,1/11/2024,South,20.85
P0224,Cappuccino,BOGO,1/10/2024,1/11/2024,East,60.73
P0225,Mocha,Bundle,1/10/2024,1/11/2024,North,35.64
P0226,Mocha,Discount,1/10/2024,1/11/2024,East,48.9
P0227,Espresso,BOGO,1/10/2024,1/11/2024,East,61.88
P0228,Latte,Free Sample,1/10/2024,1/11/2024,North,38.16
P0229,Mocha,Free Sample,1/10/2024,1/11/2024,South,48.86
P0230,Espresso,Discount,1/10/2024,1/11/2024,South,87.07
P0231,Latte,Bundle,1/10/2024,1/11/2024,North,34.45
P0232,Latte,Bundle,1/10/2024,1/11/2024,North,27.87
P0233,Mocha,Discount,1/10/2024,1/11/2024,East,83.08
P0234,Espresso,BOGO,1/10/2024,1/11/2024,East,58.49
P0235,Cappuccino,Bundle,1/10/2024,1/11/2024,North,85.14
P0236,Mocha,Bundle,1/10/2024,1/11/2024,North,36.78
P0237,Mocha,BOGO,1/10/2024,1/11/2024,South,30.22
P0238,Latte,Discount,1/10/2024,1/11/2024,North,65.48
P0239,Mocha,Free Sample,1/10/2024,1/11/2024,North,49.17
P0240,Mocha,Discount,1/10/2024,1/11/2024,North,24.99
P0241,Cappuccino,BOGO,1/11/2024,1/12/2024,West,85.21
P0242,Latte,Bundle,1/11/2024,1/12/2024,South,18.23
P0243,Mocha,Bundle,1/11/2024,1/12/2024,South,17.97
P0244,Espresso,BOGO,1/11/2024,1/12/2024,East,71.54
P0245,Cappuccino,Bundle,1/11/2024,1/12/2024,East,16.69
P0246,Espresso,Free Sample,1/11/2024,1/12/2024,South,42.57
P0247,Cappuccino,BOGO,1/11/2024,1/12/2024,North,29.83
P0248,Mocha,Bundle,1/11/2024,1/12/2024,West,29.96
P0249,Espresso,Free Sample,1/11/2024,1/12/2024,North,70.62
P0250,Mocha,Free Sample,1/11/2024,1/12/2024,West,60.75
P0251,Cappuccino,Free Sample,1/11/2024,1/12/2024,North,11.19
P0252,Cappuccino,Free Sample,1/11/2024,1/12/2024,South,86.41
P0253,Cappuccino,Free Sample,1/11/2024,1/12/2024,North,44.77
P0254,Latte,Free Sample,1/11/2024,1/12/2024,North,49.98
P0255,Latte,Discount,1/11/2024,1/12/2024,West,29.91
P0256,Espresso,BOGO,1/11/2024,1/12/2024,East,42.84
P0257,Cappuccino,Bundle,1/11/2024,1/12/2024,West,43.34
P0258,Cappuccino,BOGO,1/11/2024,1/12/2024,North,32.84
P0259,Mocha,Bundle,1/11/2024,1/12/2024,East,21.36
P0260,Cappuccino,Free Sample,1/11/2024,1/12/2024,West,14.96
P0261,Espresso,Bundle,1/11/2024,1/12/2024,West,44.83
P0262,Cappuccino,Free Sample,1/11/2024,1/12/2024,South,72.59
P0263,Espresso,Discount,1/11/2024,1/12/2024,North,51.15
P0264,Cappuccino,Bundle,1/11/2024,1/12/2024,West,82.54
P0265,Mocha,Free Sample,1/12/2024,1/13/2024,South,27.31
P0266,Mocha,Discount,1/12/2024,1/13/2024,West,78.83
P0267,Espresso,Discount,1/12/2024,1/13/2024,South,10.86
P0268,Cappuccino,Discount,1/12/2024,1/13/2024,South,21.84
P0269,Espresso,BOGO,1/12/2024,1/13/2024,West,62.7
P0270,Cappuccino,Discount,1/12/2024,1/13/2024,North,65.37
P0271,Mocha,Bundle,1/12/2024,1/13/2024,East,68.87
P0272,Espresso,BOGO,1/12/2024,1/13/2024,East,83.14
P0273,Mocha,BOGO,1/12/2024,1/13/2024,North,13.32
P0274,Mocha,BOGO,1/12/2024,1/13/2024,East,38.68
P0275,Latte,Bundle,1/12/2024,1/13/2024,West,64.72
P0276,Espresso,Discount,1/12/2024,1/13/2024,South,37.92
P0277,Espresso,Bundle,1/12/2024,1/13/2024,East,59.03
P0278,Latte,BOGO,1/12/2024,1/13/2024,West,60.43
P0279,Espresso,Discount,1/12/2024,1/13/2024,East,71.91
P0280,Latte,BOGO,1/12/2024,1/13/2024,North,63.67
P0281,Espresso,Free Sample,1/12/2024,1/13/2024,North,45.01
P0282,Latte,Discount,1/12/2024,1/13/2024,East,20.42
P0283,Mocha,BOGO,1/12/2024,1/13/2024,West,14.81
P0284,Latte,Bundle,1/12/2024,1/13/2024,South,49.18
P0285,Cappuccino,BOGO,1/12/2024,1/13/2024,South,33.92
P0286,Latte,Bundle,1/12/2024,1/13/2024,West,62.08
P0287,Latte,BOGO,1/12/2024,1/13/2024,North,74.35
P0288,Latte,BOGO,1/12/2024,1/13/2024,North,58.08
P0289,Espresso,Bundle,1/13/2024,1/14/2024,West,20.01
P0290,Mocha,Discount,1/13/2024,1/14/2024,South,37.16
P0291,Latte,Bundle,1/13/2024,1/14/2024,South,75.28
P0292,Latte,Free Sample,1/13/2024,1/14/2024,South,55.65
P0293,Espresso,BOGO,1/13/2024,1/14/2024,South,30.15
P0294,Latte,BOGO,1/13/2024,1/14/2024,South,66.26
P0295,Cappuccino,BOGO,1/13/2024,1/14/2024,West,20.99
P0296,Mocha,BOGO,1/13/2024,1/14/2024,South,22.06
P0297,Cappuccino,BOGO,1/13/2024,1/14/2024,South,80.19
P0298,Mocha,Bundle,1/13/2024,1/14/2024,South,53.14
P0299,Mocha,Free Sample,1/13/2024,1/14/2024,South,28.93
P0300,Mocha,Discount,1/13/2024,1/14/2024,West,10.02
P0301,Mocha,Discount,1/13/2024,1/14/2024,West,79.42
P0302,Latte,Bundle,1/13/2024,1/14/2024,North,10.58
P0303,Mocha,Discount,1/13/2024,1/14/2024,West,53.44
P0304,Espresso,Discount,1/13/2024,1/14/2024,East,68.37
P0305,Espresso,Free Sample,1/13/2024,1/14/2024,South,49.03
P0306,Mocha,Free Sample,1/13/2024,1/14/2024,North,72.23
P0307,Cappuccino,Free Sample,1/13/2024,1/14/2024,South,29.76
P0308,Cappuccino,BOGO,1/13/2024,1/14/2024,South,64.73
P0309,Mocha,BOGO,1/13/2024,1/14/2024,East,75.53
P0310,Cappuccino,Bundle,1/13/2024,1/14/2024,East,29.5
P0311,Mocha,BOGO,1/13/2024,1/14/2024,North,55.68
P0312,Latte,BOGO,1/13/2024,1/14/2024,West,40.15
P0313,Latte,Discount,1/14/2024,1/15/2024,East,48.99
P0314,Mocha,Discount,1/14/2024,1/15/2024,North,23.27
P0315,Cappuccino,Free Sample,1/14/2024,1/15/2024,North,51.48
P0316,Espresso,BOGO,1/14/2024,1/15/2024,East,88.94
P0317,Latte,Bundle,1/14/2024,1/15/2024,East,23.57
P0318,Espresso,Bundle,1/14/2024,1/15/2024,North,88.36
P0319,Latte,Discount,1/14/2024,1/15/2024,South,15.81
P0320,Mocha,Discount,1/14/2024,1/15/2024,North,44.41
P0321,Espresso,Bundle,1/14/2024,1/15/2024,West,71.75
P0322,Espresso,Discount,1/14/2024,1/15/2024,South,66.72
P0323,Latte,BOGO,1/14/2024,1/15/2024,East,18.74
P0324,Espresso,Bundle,1/14/2024,1/15/2024,South,33.53
P0325,Espresso,BOGO,1/14/2024,1/15/2024,East,75.15
P0326,Mocha,BOGO,1/14/2024,1/15/2024,East,23.32
P0327,Espresso,Discount,1/14/2024,1/15/2024,East,67.55
P0328,Mocha,Free Sample,1/14/2024,1/15/2024,North,10.86
P0329,Latte,Bundle,1/14/2024,1/15/2024,South,63.95
P0330,Cappuccino,Free Sample,1/14/2024,1/15/2024,West,15.4
P0331,Cappuccino,Free Sample,1/14/2024,1/15/2024,North,53.19
P0332,Mocha,Free Sample,1/14/2024,1/15/2024,East,14.02
P0333,Espresso,BOGO,1/14/2024,1/15/2024,South,82.4
P0334,Mocha,BOGO,1/14/2024,1/15/2024,West,89.34
P0335,Cappuccino,Bundle,1/14/2024,1/15/2024,East,38.75
P0336,Latte,Discount,1/14/2024,1/15/2024,South,62.73
P0337,Latte,Free Sample,1/15/2024,1/16/2024,East,17.68
P0338,Espresso,Discount,1/15/2024,1/16/2024,West,67.0
P0339,Mocha,Free Sample,1/15/2024,1/16/2024,East,15.28
P0340,Cappuccino,BOGO,1/15/2024,1/16/2024,South,57.69
P0341,Mocha,Bundle,1/15/2024,1/16/2024,South,85.41
P0342,Espresso,BOGO,1/15/2024,1/16/2024,East,36.07
P0343,Espresso,BOGO,1/15/2024,1/16/2024,South,16.81
P0344,Mocha,BOGO,1/15/2024,1/16/2024,South,80.06
P0345,Espresso,Bundle,1/15/2024,1/16/2024,North,15.68
P0346,Latte,Bundle,1/15/2024,1/16/2024,North,13.27
P0347,Espresso,Bundle,1/15/2024,1/16/2024,North,22.19
P0348,Espresso,Free Sample,1/15/2024,1/16/2024,East,89.78
P0349,Latte,Discount,1/15/2024,1/16/2024,South,85.35
P0350,Cappuccino,Bundle,1/15/2024,1/16/2024,West,52.7
P0351,Cappuccino,Bundle,1/15/2024,1/16/2024,North,62.43
P0352,Mocha,Discount,1/15/2024,1/16/2024,West,47.76
P0353,Cappuccino,Bundle,1/15/2024,1/16/2024,East,78.41
P0354,Cappuccino,Bundle,1/15/2024,1/16/2024,East,87.15
P0355,Mocha,Bundle,1/15/2024,1/16/2024,North,29.02
P0356,Cappuccino,Bundle,1/15/2024,1/16/2024,East,12.63
P0357,Cappuccino,Bundle,1/15/2024,1/16/2024,South,35.47
P0358,Cappuccino,Free Sample,1/15/2024,1/16/2024,West,43.8
P0359,Espresso,Discount,1/15/2024,1/16/2024,North,63.58
P0360,Latte,Discount,1/15/2024,1/16/2024,South,40.36
P0361,Espresso,Discount,1/16/2024,1/17/2024,South,17.05
P0362,Latte,BOGO,1/16/2024,1/17/2024,South,68.39
P0363,Mocha,Discount,1/16/2024,1/17/2024,East,57.0
P0364,Cappuccino,Bundle,1/16/2024,1/17/2024,West,53.86
P0365,Mocha,Free Sample,1/16/2024,1/17/2024,North,42.08
P0366,Mocha,BOGO,1/16/2024,1/17/2024,West,77.02
P0367,Cappuccino,BOGO,1/16/2024,1/17/2024,West,28.83
P0368,Latte,Discount,1/16/2024,1/17/2024,West,51.03
P0369,Latte,BOGO,1/16/2024,1/17/2024,West,27.98
P0370,Latte,Discount,1/16/2024,1/17/2024,West,46.8
P0371,Cappuccino,Discount,1/16/2024,1/17/2024,East,26.88
P0372,Latte,Free Sample,1/16/2024,1/17/2024,East,65.95
P0373,Cappuccino,BOGO,1/16/2024,1/17/2024,North,16.64
P0374,Mocha,BOGO,1/16/2024,1/17/2024,North,62.29
P0375,Latte,Free Sample,1/16/2024,1/17/2024,West,37.61
P0376,Espresso,Bundle,1/16/2024,1/17/2024,West,18.57
P0377,Latte,Bundle,1/16/2024,1/17/2024,East,37.06
P0378,Mocha,BOGO,1/16/2024,1/17/2024,West,58.48
P0379,Latte,Bundle,1/16/2024,1/17/2024,South,15.56
P0380,Cappuccino,Free Sample,1/16/2024,1/17/2024,West,28.67
P0381,Latte,Discount,1/16/2024,1/17/2024,South,61.4
P0382,Espresso,Free Sample,1/16/2024,1/17/2024,East,57.53
P0383,Cappuccino,Bundle,1/16/2024,1/17/2024,South,63.37
P0384,Espresso,BOGO,1/16/2024,1/17/2024,North,10.78
P0385,Latte,BOGO,1/17/2024,1/18/2024,West,33.75
P0386,Cappuccino,Free Sample,1/17/2024,1/18/2024,West,85.82
P0387,Espresso,Discount,1/17/2024,1/18/2024,North,21.33
P0388,Mocha,Discount,1/17/2024,1/18/2024,South,40.39
P0389,Mocha,Free Sample,1/17/2024,1/18/2024,East,47.94
P0390,Mocha,Discount,1/17/2024,1/18/2024,North,49.21
P0391,Latte,Discount,1/17/2024,1/18/2024,West,55.46
P0392,Mocha,Bundle,1/17/2024,1/18/2024,West,60.81
P0393,Mocha,Discount,1/17/2024,1/18/2024,South,79.73
P0394,Latte,BOGO,1/17/2024,1/18/2024,North,26.88
P0395,Mocha,Bundle,1/17/2024,1/18/2024,East,74.8
P0396,Latte,Bundle,1/17/2024,1/18/2024,North,79.93
P0397,Latte,Discount,1/17/2024,1/18/2024,West,57.63
P0398,Cappuccino,Free Sample,1/17/2024,1/18/2024,East,20.21
P0399,Mocha,Free Sample,1/17/2024,1/18/2024,North,75.22
P0400,Espresso,BOGO,1/17/2024,1/18/2024,East,36.75
P0401,Mocha,Bundle,1/17/2024,1/18/2024,South,15.85
P0402,Mocha,Discount,1/17/2024,1/18/2024,North,64.21
P0403,Mocha,BOGO,1/17/2024,1/18/2024,South,30.75
P0404,Cappuccino,Free Sample,1/17/2024,1/18/2024,West,64.27
P0405,Espresso,Free Sample,1/17/2024,1/18/2024,North,15.11
P0406,Espresso,Discount,1/17/2024,1/18/2024,South,71.47
P0407,Mocha,Discount,1/17/2024,1/18/2024,West,19.07
